Year,EEZID,countrycode,GDP_SSP1,GDP_SSP3,GDP_SSP5,Population_SSP1,Population_SSP3,Population_SSP5,SeafoodConsumption_SSP1,SeafoodConsumption_SSP3,SeafoodConsumption_SSP5
2001,77,BRA,3396.041985,3396.041985,3396.041985,176478220,176478220,176478220,6.228336666,6.228336666,6.228336666
2001,969,BRA,3396.041985,3396.041985,3396.041985,176478220,176478220,176478220,6.228336666,6.228336666,6.228336666
2001,970,BRA,3396.041985,3396.041985,3396.041985,176478220,176478220,176478220,6.228336666,6.228336666,6.228336666
2002,76,BRA,2829.283192,2829.283192,2829.283192,178530140,178530140,178530140,5.928909937,5.928909937,5.928909937
2002,77,BRA,2829.283192,2829.283192,2829.283192,178530140,178530140,178530140,5.928909937,5.928909937,5.928909937
2002,969,BRA,2829.283192,2829.283192,2829.283192,178530140,178530140,178530140,5.928909937,5.928909937,5.928909937
2002,970,BRA,2829.283192,2829.283192,2829.283192,178530140,178530140,178530140,5.928909937,5.928909937,5.928909937
2003,76,BRA,3070.910491,3070.910491,3070.910491,180581660,180581660,180581660,6.061478638,6.061478638,6.061478638
2003,77,BRA,3070.910491,3070.910491,3070.910491,180581660,180581660,180581660,6.061478638,6.061478638,6.061478638
2003,969,BRA,3070.910491,3070.910491,3070.910491,180581660,180581660,180581660,6.061478638,6.061478638,6.061478638
2003,970,BRA,3070.910491,3070.910491,3070.910491,180581660,180581660,180581660,6.061478638,6.061478638,6.061478638
2004,76,BRA,3637.462389,3637.462389,3637.462389,182634020,182634020,182634020,6.344831833,6.344831833,6.344831833
2004,77,BRA,3637.462389,3637.462389,3637.462389,182634020,182634020,182634020,6.344831833,6.344831833,6.344831833
2004,969,BRA,3637.462389,3637.462389,3637.462389,182634020,182634020,182634020,6.344831833,6.344831833,6.344831833
2004,970,BRA,3637.462389,3637.462389,3637.462389,182634020,182634020,182634020,6.344831833,6.344831833,6.344831833
2005,76,BRA,4790.437088,4790.437088,4790.437088,184687550,184687550,184687550,6.834179912,6.834179912,6.834179912
2005,77,BRA,4790.437088,4790.437088,4790.437088,184687550,184687550,184687550,6.834179912,6.834179912,6.834179912
2005,969,BRA,4790.437088,4790.437088,4790.437088,184687550,184687550,184687550,6.834179912,6.834179912,6.834179912
2005,970,BRA,4790.437088,4790.437088,4790.437088,184687550,184687550,184687550,6.834179912,6.834179912,6.834179912
2006,76,BRA,5886.463588,5886.463588,5886.463588,186535475.4,186535475.4,186535475.4,7.224891151,7.224891151,7.224891151
2006,77,BRA,5886.463588,5886.463588,5886.463588,186535475.4,186535475.4,186535475.4,7.224891151,7.224891151,7.224891151
2006,969,BRA,5886.463588,5886.463588,5886.463588,186535475.4,186535475.4,186535475.4,7.224891151,7.224891151,7.224891151
2006,970,BRA,5886.463588,5886.463588,5886.463588,186535475.4,186535475.4,186535475.4,7.224891151,7.224891151,7.224891151
2007,76,BRA,7348.030794,7348.030794,7348.030794,188520544.6,188520544.6,188520544.6,7.670455241,7.670455241,7.670455241
2007,77,BRA,7348.030794,7348.030794,7348.030794,188520544.6,188520544.6,188520544.6,7.670455241,7.670455241,7.670455241
2007,969,BRA,7348.030794,7348.030794,7348.030794,188520544.6,188520544.6,188520544.6,7.670455241,7.670455241,7.670455241
2007,970,BRA,7348.030794,7348.030794,7348.030794,188520544.6,188520544.6,188520544.6,7.670455241,7.670455241,7.670455241
2008,76,BRA,8831.023117,8831.023117,8831.023117,190505613.8,190505613.8,190505613.8,8.060556057,8.060556057,8.060556057
2008,77,BRA,8831.023117,8831.023117,8831.023117,190505613.8,190505613.8,190505613.8,8.060556057,8.060556057,8.060556057
